,Nili_id,Vertex,deployment_duration,origin,birth_year,years.at.deployment,age_group,sex,deploy.loc,AgeClass,X,Layer,Node,Strength,StrengthIn,StrengthOut,Degree,DegreeIn,DegreeOut,PageRank,Hub,Authority,X.x,areas50,areas95,Movt.Personality,X.y,AvgDisplacementPerDay,AvgFlightDurPerDay,Shannon.Roost,Degree_CoFlight,Degree_CoRoosting,Degree_CoFeeding,Degree_Aggregate,Strength_CoFlight,Strength_CoRoosting,Strength_CoFeeding,Strength_Aggregate,PageRank_CoFlight,PageRank_CoRoosting,PageRank_CoFeeding,PageRank_Aggregate,Hub_CoFlight,Hub_CoRoosting,Hub_CoFeeding,Hub_Aggregate,Authority_CoFlight,Authority_CoRoosting,Authority_CoFeeding,Authority_Aggregate
21,uri,T08.B..A73.Y31.,700,Captive born,2009,9,,m,carmel,A,10,1-Multi,10,7.472356289,7.472356289,7.472356289,11.5,11.5,11.5,0.243262611,1,0.234722898,9,48.375,1243.6875,0.038896427,9,4586.034773,15000.43182,0.080484837,11,11,1,26,4.553045911,9.725,0.666666667,29.88942516,1,0.603081315,0.409173261,0.954388233,1,0.989883181,0,1,1,0.989883181,0,1
22,yagur,T42.W..L05.A92.Y09.,700,Captive born,2007,11,,f,carmel,A,22,1-Multi,22,7.240178584,7.240178584,7.240178584,11,11,11,0.499146579,0.600387045,0.823975871,21,63,1605.375,0.039243167,21,5901.939024,12630.39024,0.091909786,9,11,2,24,3.426023834,9.721,1.333333334,28.96071434,0.762844512,0.602821888,0.775275652,0.946411966,0.794879203,0.990832036,0,0.964025808,0.794879203,0.990832036,0,0.964025808
23,sasha,T41.W..L10.L25.L10.A84.,700,Captive born,2007,11,,f,,A,21,1-Multi,21,7.000090759,7.000090759,7.000090759,11,11,11,0.334713633,0.733880116,0.707143203,20,230.625,4313.25,0.053468962,20,11175.01082,14373.75294,0.045688389,10,11,1,26,3.55951485,9.774,0.666666667,28.00036303,0.793390712,0.605581473,0.409173261,0.921653247,0.824059046,0.99543489,0,0.944600688,0.824059046,0.99543489,0,0.944600688
24,kfir,T40.White..Y14.,700,Captive born,2011,7,,m,,A,19,1-Multi,19,6.5563438,6.5563438,6.5563438,10.5,10.5,10.5,0.290342462,0.851757624,0.567238735,18,41.625,795.375,0.052333805,18,4886.646136,14708.125,0,10,11,0,26,3.284687599,9.828,0,26.2253752,0.740789756,0.608580336,0.079681109,0.894795341,0.754573782,1,0,0.881006042,0.754573782,1,0,0.881006042
25,eyal peled,K62.T23.white,829,Captive born,2005,13,,m,carmel,A,3,1-Multi,3,2.061204791,2.061204791,2.061204791,5,5,5,0.198691875,0,0,3,185.0625,1444.5,0.128115265,3,6889.002131,12915.68852,0,10,0,0,20,4.122409582,0,0,8.244819164,0.914252172,0.066852847,0.079681109,0.597519031,0.907589161,2.12E-17,0,0.29453583,0.907589161,2.12E-17,0,0.29453583
26,carmel,T29.Black,870,Captive born,2016,2,,,carmel,J,18,1-Multi,18,6.463745989,6.463745989,6.463745989,9,9,9,0.252251184,0.943908215,0.406854436,17,7.875,57.375,0.137254902,17,1970.556087,8632.086957,0,7,11,0,24,3.099491978,9.828,0,25.85498396,0.693547719,0.608580336,0.079681109,0.886841838,0.756175599,1,0,0.876092072,0.756175599,1,0,0.876092072
27,hasan,T20.White,870,Wild,2016,2,,,,J,13,1-Multi,13,1.207909309,1.207909309,1.207909309,16.5,16.5,16.5,0.238170849,0.000256744,0,12,152872.3125,726118.3125,0.210533614,12,20236.79336,28145.296,1.996539824,19,14,0,38,0.805818618,1.61,0,4.831637236,0.888315692,1,0.079681109,0.804884351,0.000835762,0.000300214,0,0.001481681,0.000835762,0.000300214,0,0.001481681
28,kinya,T75.B,961,Captive born,2016,1,,m,golan,J,26,1-Multi,26,2.168402447,2.168402447,2.168402447,9.5,9.5,9.5,0.457975404,0.000344583,4.84E-06,25,2781.5625,39382.875,0.070628731,25,11608.84755,17621.43137,1.32275672,8,4,7,16,1.260882195,1.249,1.826922698,8.673609786,0.849994067,0.499450641,0.650906706,0.853145258,0.017229809,0.000847782,0.721556809,0.023546037,0.017229809,0.000847782,0.721556809,0.023546037
29,klil,T23.B..J69.E81.S24.S73.,999,Wild,2004,13,,,,A,16,1-Multi,16,0.568399943,0.568399943,0.568399943,8,8,8,0.271180834,1.87E-07,2.49E-06,15,2260.6875,49880.25,0.045322297,15,17226.47123,17437.06604,1.25015455,8,5,3,22,0.24806614,0.307,0.581733746,2.273599772,0.410157342,0.259420078,0.277905188,0.65401491,7.54E-06,1.98E-06,0.017475603,2.92E-05,7.54E-06,1.98E-06,0.017475603,2.92E-05
30,tennessee,T22.B,999,Wild,2006,11,,m,,A,14,1-Multi,14,1.319130466,1.319130466,1.319130466,14,14,14,0.261425681,2.41E-05,8.16E-06,13,7739.4375,43693.875,0.177128659,13,14389.59466,21106.84746,1.572472478,12,10,6,26,0.359892286,0.723,1.555368645,5.276521862,0.557773197,0.513982904,0.592164156,0.898798549,1.12E-05,1.93E-05,0.033096985,6.61E-05,1.12E-05,1.93E-05,0.033096985,6.61E-05
31,fiver,S70..J72.X24.Y44.,1048,Wild,2005,12,,,,A,6,1-Multi,6,1.220294035,1.220294035,1.220294035,10.5,10.5,10.5,0.208168708,2.22E-06,0,5,1169.4375,44490.9375,0.026284847,5,10602.54218,20500.42857,1.103572721,10,4,7,22,0.671109545,0.169,1.600478524,4.881176138,0.908370844,0.177206929,0.606058851,0.85585828,2.61E-05,1.24E-06,0.022511932,2.29E-05,2.61E-05,1.24E-06,0.022511932,2.29E-05
32,cordellia,Y21,1049,Wild,2005,12,,f,carmel,A,33,1-Multi,33,0.910814688,0.910814688,0.910814688,9,9,9,0.588737468,1.22E-08,0.000661566,32,52359.1875,286376.625,0.182833314,32,35264.30195,15970.6092,1.495007004,8,7,3,22,0.324798207,0.828,0.668831169,3.643258752,0.624476572,0.491346583,0.320236765,0.790268551,7.71E-05,0.000528709,0.033189452,0.000494267,7.71E-05,0.000528709,0.033189452,0.000494267
33,gobi,K39,1049,Wild,2005,12,,,negev,A,2,1-Multi,2,1.123999633,1.123999633,1.123999633,13.5,13.5,13.5,0.682601784,0,4.17E-06,2,31436.4375,285537.9375,0.110095484,2,49886.09359,17985.00855,1.743494205,10,10,7,26,0.248020392,0.452,1.547978874,4.495998532,0.40430878,0.354145479,0.612999916,0.841579156,5.77E-06,7.76E-06,0.022003937,3.27E-05,5.77E-06,7.76E-06,0.022003937,3.27E-05
34,elika ,T72.B,1055,Catalonia,2015,2,,m,golan,J,25,1-Multi,25,2.137616042,2.137616042,2.137616042,11,11,11,0.388833927,0.019144381,3.53E-05,24,9027.5625,71552.25,0.126167416,24,17317.14882,20488.06364,1.520220447,11,5,6,26,1.270862052,0.979,2.025370031,8.550464166,0.884508414,0.385783414,0.713640322,0.867926231,0.013796,0.011574227,0.801561378,0.017679581,0.013796,0.011574227,0.801561378,0.017679581
